,Trigger API,Action API,Trigger Variables,Action Variables
12,salesforce,razorpay,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Payment Link', 'Create Item', 'Update Subscription', 'Create Plan', 'Update Item', 'Create Subscription', 'Get Order By Id', 'Update Customer', 'Get Invoice By Id', 'Create Customer', 'Create Order', 'Update Order', 'Get Payment', 'Update Payment', 'Search Payments', 'Search Order By Id', 'Capture Payment', 'Search Invoice By Id', 'Create Partial Refund', 'Create Full Refund', 'Make Api Call', 'Create Invoice']"
13,salesforce,figma,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Post Comment', 'List Comments', 'Delete Comment', 'Make Api Call', 'List Projects']"
14,salesforce,intercom,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Note', 'Create/Update Company', 'Send Incoming Message', 'Add Event', 'Create Conversation', 'Update Company', 'Find Company', 'Update Tag', 'Create Company', 'Create/Update User', 'Create/Update Lead', 'Find/Create Company', 'List Segments', 'Assign Conversation', 'Reply To Conversation', 'Close Conversation', 'Get Segment', 'Create/Update Tag', 'Get Authenticated User', 'List Admins', 'Snooze Conversation', 'Create Contact', 'Update Contact', 'Delete Contact', 'Create User', 'Get Contact', 'Find User', 'Create Tag', 'Find Lead', 'Create Message', 'Find/Create Lead', 'Get Company', 'List Contacts', 'Add Note', 'Make Api Request (Beta)', 'Make Api Call', 'Delete Tag', 'List Tags', 'List Companies', 'Get Conversation', 'Create Contact Note', 'List Conversations', 'Create Lead (Legacy)']"
15,salesforce,wordpress,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Post', 'Update Post', 'Create User', 'Create Tag', 'Create Category', 'Update Tag', 'Find Post', 'Update Category', 'Delete Post', 'Search Tag', 'Delete User', 'Update Comment', 'Delete Tag', 'Update User', 'Create Comment', 'Get Media Item', 'Get Tag By Id', 'Search Users', 'Delete Comment', 'Get User', 'Find User', 'Get Comment', 'Search Category', 'Get Post By Id', 'Search User', 'Delete Category', 'Make Api Call', 'Get Post', 'Get Tag', 'Search Tags', 'Search Comments', 'Get Category', 'Create Photo Post', 'Search Posts', 'Find Category', 'Search Categories', 'Upload Media']"
16,salesforce,zoom,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Meeting', 'Add Webinar Registrant', 'Create Webinar', 'Add Meeting Registrant', 'Update Meeting', 'List Meeting Registrants', 'Create Webinar Registrant', 'Send Chat Message', 'Create Meeting Registrant', 'Update Webinar', 'List Webinar Registrants', 'Delete Meeting', 'Get Meeting', 'Get Webinar', 'List Call Logs', 'List Webinars', 'Make Api Call', 'Delete Webinar', 'Update Webinar Registrantâ€™S Status', 'Update Meeting Registrantâ€™S Status', 'Retrieve Meeting', 'Retrieve Webinar', 'Get Past Meeting Registrant', 'List Webinar Absentees', 'List Meetings', 'Create User', 'Delete User', 'Make Api Request (Beta)', 'List Channels']"
17,salesforce,typeform,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Form', 'List Forms', 'Get Form', 'Delete Image', 'List Images', 'Delete Form', 'List Responses', 'Duplicate Form', 'Create Image', 'Lookup Responses', 'Find Form By Id', 'Create Empty Form', 'Find Form', 'Update Form', 'Make Api Call', 'Delete Webhook', 'Get Form By Id']"
18,salesforce,jira,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Issue', 'Update Issue', 'Delete Project', 'Update Comment', 'Get Issue', 'Add Watcher To Issue', 'List Issue Comments', 'Add Attachment To Issue', 'Assign Issue', 'Get Task', 'Add Comment To Issue', 'Get User']"
19,salesforce,bamboohr,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Update Employee', 'Create Employee', ""Get Summary Of Who'S Out"", 'Respond To Time Off Request', 'Upload Employee File', 'Find/Create Employee', 'Create Time Off Request', 'Find Employee', 'Make Api Call', 'Get Employee', 'List Employees']"
20,salesforce,zendesk,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Update Ticket', 'Create Ticket', 'Update Organization', 'Update User', 'Search Ticket', 'Create Organization', 'Add Comment To Ticket', 'Create User', 'Search Agent', 'Add Tag(S) To Ticket', 'Search Organization', 'Create Group', 'Delete User', 'Get User', 'Search User', 'Update Group', 'Create Request', 'Delete Group', 'Delete Organization', 'Delete Ticket', 'Search Group', 'Search Organizations', 'Find Agent', 'Make Api Call', 'Search Anything', 'Create/Update Organization', 'Add Tag To Ticket', 'List Users', 'Search Users', 'Get Ticket', 'Create Ticket Comment', 'Find Group', 'Create/Update User', 'Find/Create User', 'Get Group', 'List Groups', 'Find Ticket', 'Find Organization', 'Get Organization', 'Search Tickets', 'Find User', 'Create Topic', 'Search User By Id', 'List Tickets', 'List Organizations', 'Find/Create Organization', 'Find/Create Ticket']"
21,salesforce,monday,"['Updated Field On Record', 'New Contact', 'New Task', 'New Lead', 'New Account', 'New Opportunity', 'Get Fields For Object', 'New Record', 'Lead Is Created', 'Contact Is Updated', 'Update Contact', 'Get Campaigns', 'Get Contacts', 'Updated Record', 'Task Is Updated', 'Account Is Created', 'Watch Records', 'Lead Is Updated', 'Opportunity Is Created', 'Get Leads', 'Record Is Created', 'Quote Is Created', 'New Outbound Message', 'Record Is Updated', 'Account Is Updated', 'Get Queryable Objects', 'Case Is Created', 'Case Is Updated', 'Get Creatable Objects', 'Get Records For Object', 'Opportunity Is Updated', 'Record Created/Updated', 'Quote Is Updated', 'Get Updateable Objects', 'Opportunity Updated', 'Watch Jobs', 'Contact Is Created', 'Task Is Created']","['Create Item', 'Create Group', 'Create Board', 'Create Update', 'Duplicate Group', 'Archive Board', 'Archive Item', 'Update Item Name', 'Create Subitem', 'Archive Group', 'Delete Item', 'Create Column', 'Delete Group', 'Update Item Column Value', ""Get Item'S Column Value"", 'Create/Get Tag', 'Execute Graphql Query', 'Get Item', 'Get Team', 'Get User', 'Get Board', 'Get Group', 'Move Item To Group', 'Update Item', 'Update Item Column Value (Legacy)', 'Get Item Details By Id', 'List Updates', 'List Group Items', 'Search Items By Column Value', 'Create Workspace', 'Create Board Column', 'Download File', ""List Board'S Groups"", 'List Boards', 'List Items', 'List Users', 'Search Item', 'List Team Members', 'List Teams', 'List Files', 'Get User Details']"
